,external_image_id,category,price
0,27387565009,Ремонт и строительство,1500.0
1,16258880360,Ремонт и строительство,15000.0
2,16224938097,Мебель и интерьер,64890.0
3,22457702573,Ремонт и строительство,12190.0
4,16621461298,Планшеты и электронные книги,600.0
5,16640914440,Ремонт и строительство,12500.0
6,16660307453,Ремонт и строительство,7660.0
7,16702433812,Ремонт и строительство,819.0
8,16831438591,Ремонт и строительство,3730.0
9,16883192048,Часы и украшения,4500.0
10,16889459141,"Одежда, обувь, аксессуары",900.0
11,16906280005,Бытовая техника,20900.0
12,16921029474,Мебель и интерьер,450.0
13,16928149135,Коллекционирование,4090.0
14,16660399813,Ремонт и строительство,51.0
15,17294450066,Музыкальные инструменты,2350.0
16,16988394148,Ремонт и строительство,10000.0
17,17010136882,Коллекционирование,500.0
18,17032750041,Товары для детей и игрушки,750.0
19,17059963872,Собаки,1.0
20,17074854735,Собаки,40000.0
21,18832275432,Ремонт и строительство,250.0
22,22839095310,Музыкальные инструменты,3500.0
23,17106692497,Часы и украшения,1000.0
24,17117822128,Часы и украшения,100.0
25,17146223298,Ремонт и строительство,39900.0
26,17370315793,Ремонт и строительство,4100.0
28,17388116854,Ремонт и строительство,8250.0
29,17391026077,Товары для компьютера,800.0
30,17405722178,Коллекционирование,300.0
31,17439299311,Ремонт и строительство,23750.0
32,17470207206,Ремонт и строительство,20000.0
33,17505686082,Ремонт и строительство,150.0
34,17560389868,Товары для животных,300.0
35,17691527977,Кошки,10000.0
36,17692368563,Кошки,10000.0
37,17715216117,Кошки,10000.0
38,17755706885,Мебель и интерьер,1037.0
39,17759670774,Мебель и интерьер,2.0
40,17778104744,Часы и украшения,1.0
41,17817721156,Коллекционирование,1349.0
42,17920822695,Ремонт и строительство,20.0
43,18566363062,Ремонт и строительство,482000.0
44,17848526130,Товары для детей и игрушки,29160.0
45,17863384753,Детская одежда и обувь,1.0
46,17870901591,Ремонт и строительство,1000.0
48,17881190000,"Одежда, обувь, аксессуары",2000.0
49,17900719203,Мебель и интерьер,32044.0
50,17939808755,Бытовая техника,7000.0
51,17971162215,Ремонт и строительство,56000.0
52,18550349651,Мебель и интерьер,1450.0
53,18015640668,"Одежда, обувь, аксессуары",500.0
54,18083507326,Ремонт и строительство,210.0
55,18135787735,"Одежда, обувь, аксессуары",500.0
56,18167862414,Ремонт и строительство,100.0
57,18183026558,Кошки,10000.0
58,26252713541,Ремонт и строительство,7122.0
59,18221240714,Часы и украшения,1750.0
60,18267149489,Собаки,90.0
61,18271665778,"Одежда, обувь, аксессуары",500.0
62,18291928146,"Одежда, обувь, аксессуары",500.0
63,18294161136,Бытовая техника,1000.0
64,18342272472,Аудио и видео,1500.0
65,18354686033,Товары для детей и игрушки,2000.0
66,18108404646,Ремонт и строительство,5700.0
67,18899531461,Ремонт и строительство,19000.0
68,18190962407,Ремонт и строительство,51561.0
69,18415494298,Оргтехника и расходники,1000.0
70,18430650901,Собаки,25000.0
71,27733604056,Ремонт и строительство,4999.0
72,18524785493,Аудио и видео,6000.0
73,18536066375,Ремонт и строительство,80.0
74,18535163654,Мебель и интерьер,900.0
75,18526609862,Ремонт и строительство,9000.0
76,18595824549,Ремонт и строительство,99000.0
77,18643825286,Ремонт и строительство,65136.0
78,18556771292,Мебель и интерьер,690.0
79,18650006232,Ремонт и строительство,10000.0
80,18678640620,Музыкальные инструменты,5000.0
81,18694321491,Музыкальные инструменты,18000.0
82,18670023571,Мебель и интерьер,4479.0
83,18696619211,Детская одежда и обувь,800.0
84,18699479745,Ремонт и строительство,50.0
85,20739690071,Ремонт и строительство,11152.0
86,18719176724,Ремонт и строительство,50000.0
87,18713382928,"Одежда, обувь, аксессуары",1700.0
88,18723627018,Оргтехника и расходники,240.0
89,18729383680,Собаки,0.0
90,18598380420,Товары для компьютера,180.0
92,18812786864,Собаки,27000.0
93,18845625847,"Одежда, обувь, аксессуары",3000.0
94,18877617209,Красота и здоровье,1250.0
95,19126458998,Часы и украшения,4000.0
96,18946592697,Собаки,500.0
97,18953857708,Аудио и видео,3349.0
98,18954926344,Коллекционирование,1500.0
99,19017817010,Музыкальные инструменты,300.0
100,23831439121,"Одежда, обувь, аксессуары",360.0
101,20786070604,Собаки,55000.0
102,19033160965,Оргтехника и расходники,10.0
103,19041816949,Детская одежда и обувь,200.0
104,19121006504,Товары для компьютера,499.0
105,19142178491,Ремонт и строительство,500.0
106,19167059851,"Одежда, обувь, аксессуары",1000.0
107,19195328110,Часы и украшения,860.0
108,19197318481,Спорт и отдых,100.0
109,19201216436,Красота и здоровье,700.0
110,19225254576,Телефоны,350.0
111,19231615895,Кошки,10000.0
112,26596982474,Ремонт и строительство,1450.0
113,19266339165,Оргтехника и расходники,84000.0
114,19268455615,Спорт и отдых,500.0
115,19279506455,Собаки,80000.0
116,19287937353,"Одежда, обувь, аксессуары",700.0
117,19300041962,Ремонт и строительство,6999.0
118,19299849555,Часы и украшения,204.0
119,19595720737,Собаки,70000.0
120,19385562779,Часы и украшения,60.0
121,19330435629,"Игры, приставки и программы",19500.0
122,19331458976,Кошки,10000.0
123,19345556574,Настольные компьютеры,50800.0
124,19360740257,Собаки,0.0
125,19369275120,Настольные компьютеры,45000.0
127,19406541455,Собаки,0.0
128,19409867102,Коллекционирование,1000.0
129,19447877660,Кошки,10000.0
130,19478383873,Ремонт и строительство,35000.0
131,19498758735,Ремонт и строительство,659.0
132,25640220381,Мебель и интерьер,1500.0
133,19188556294,Ремонт и строительство,757.0
134,25351918565,Ремонт и строительство,3977.0
136,19553426138,Мебель и интерьер,3000.0
137,19554555544,"Одежда, обувь, аксессуары",1616.0
138,19558364569,Мебель и интерьер,4336.0
139,19573144143,Велосипеды,5000.0
140,19587879192,Часы и украшения,2300.0
141,19620412682,Собаки,0.0
142,19623586561,Оргтехника и расходники,500.0
143,19652197540,"Одежда, обувь, аксессуары",13000.0
144,19652642526,Аудио и видео,0.0
145,19655482550,Собаки,10000.0
146,19658273119,"Одежда, обувь, аксессуары",700.0
147,27527640986,Красота и здоровье,349900.0
148,19669660019,Часы и украшения,1500.0
149,19675086517,Собаки,0.0
150,19679107179,Собаки,0.0
151,19711131399,Планшеты и электронные книги,200.0
152,19767300849,"Одежда, обувь, аксессуары",25000.0
153,19934956639,Собаки,6000.0
154,19915516149,Собаки,30.0
155,19799259992,Мебель и интерьер,500.0
156,19837958041,Ремонт и строительство,95250.0
157,19898115251,Кошки,10000.0
158,19897147971,Детская одежда и обувь,750.0
159,19896959985,"Одежда, обувь, аксессуары",3300.0
160,19895350374,Часы и украшения,2500.0
161,19885839229,Мебель и интерьер,90000.0
162,19910318485,Ремонт и строительство,53995.0
163,19823577788,Мебель и интерьер,43000.0
164,19953264225,Мебель и интерьер,500.0
165,20064248375,Собаки,2.0
166,20191846459,Ремонт и строительство,11391.0
167,20192102717,Ремонт и строительство,1302.0
168,20017118152,Ремонт и строительство,6950.0
169,19870722409,Мебель и интерьер,8999.0
170,20018339030,Товары для компьютера,1100.0
172,20037099241,Велосипеды,3500.0
173,22849725201,Ремонт и строительство,115.0
174,20048617654,"Одежда, обувь, аксессуары",1000.0
175,20118110824,Планшеты и электронные книги,1300.0
176,20126235392,Товары для детей и игрушки,500.0
177,27705177628,Планшеты и электронные книги,900.0
179,19635853394,Мебель и интерьер,45010.0
180,20259802825,Собаки,1.0
181,20317839975,Детская одежда и обувь,150.0
182,20327908584,"Игры, приставки и программы",100.0
183,20334986030,"Игры, приставки и программы",35.0
184,19840418214,Ремонт и строительство,8230.0
185,20389319049,Собаки,15000.0
186,20406435375,Посуда и товары для кухни,840.0
187,20417413221,Ремонт и строительство,700.0
188,20418425421,Красота и здоровье,870.0
190,25600415767,Ремонт и строительство,125.0
191,20481514743,Мебель и интерьер,200.0
192,20484437554,Товары для компьютера,400.0
193,20529892892,Собаки,50000.0
194,20536157375,Детская одежда и обувь,300.0
195,20931533712,Часы и украшения,1750.0
196,20600311555,Собаки,5000.0
197,20618679877,Собаки,0.0
198,20711067396,Коллекционирование,50.0
199,20723586581,Ремонт и строительство,399.0
200,20742191288,Собаки,1.0
201,20748263898,Ремонт и строительство,5480.0
202,20751187092,Часы и украшения,1000.0
203,24518129107,Ремонт и строительство,4450.0
204,20808576699,Часы и украшения,500.0
205,20791362686,Ремонт и строительство,15800.0
206,20857425343,Собаки,20000.0
207,20867670194,Кошки,3000.0
208,20867771092,Коллекционирование,700.0
209,20902939353,Собаки,10.0
211,20920572424,Мебель и интерьер,23000.0
212,20850941706,Билеты и путешествия,25.0
213,22540825750,Билеты и путешествия,19.0
214,20941459074,Мебель и интерьер,3500.0
215,20942044266,Товары для компьютера,25000.0
217,26251108422,Ремонт и строительство,390.0
218,20945609004,Кошки,10000.0
