,external_image_id,category,price
0,27387565009,"Ворота, заборы и ограждения",1500.0
1,16258880360,"Сантехника, водоснабжение и сауна",15000.0
2,16224938097,Кухонные гарнитуры,64890.0
3,22457702573,Компрессоры,12190.0
4,16621461298,Кабели и адаптеры,600.0
5,16640914440,Инструменты,12500.0
6,16660307453,Комплектующие,7660.0
7,16702433812,"Лестничные марши, площадки, ступени",819.0
8,16831438591,Плиткорезы,3730.0
9,16883192048,Наручные или карманные,4500.0
10,16889459141,Анораки,900.0
11,16906280005,Кондиционеры,20900.0
12,16921029474,Новогодние украшения,450.0
13,16928149135,Военные вещи,4090.0
14,16660399813,Отрезные круги и пильные диски,51.0
15,17294450066,Скрипки и другие смычковые,2350.0
16,16988394148,Душевые кабины и ограждения,10000.0
17,17010136882,"Жетоны, медали, значки",500.0
18,17032750041,Для новорождённых,750.0
19,17059963872,Левретка,1.0
20,17074854735,Папийон,40000.0
21,18832275432,Строительные уровни,250.0
22,22839095310,Пианино и другие клавишные,3500.0
23,17106692497,Бижутерия,1000.0
24,17117822128,Бижутерия,100.0
25,17146223298,Лестницы и комплектующие,39900.0
26,17370315793,Алмазные диски,4100.0
27,20226486178,Конверты и почтовые карточки,-1.0
28,17388116854,Ударно-рычажные инструменты,8250.0
29,17391026077,Сетевое оборудование,800.0
30,17405722178,Конверты и почтовые карточки,300.0
31,17439299311,Пилы электрические,23750.0
32,17470207206,Верстаки и оборудование для мастерской,20000.0
33,17505686082,Фурнитура,150.0
34,17560389868,Товары для животных,300.0
35,17691527977,Селкирк-рекс,10000.0
36,17692368563,Селкирк-рекс,10000.0
37,17715216117,Сингапурская,10000.0
38,17755706885,Уличное,1037.0
39,17759670774,Ароматы для дома и свечи,2.0
40,17778104744,Наручные или карманные,1.0
41,17817721156,Военные вещи,1349.0
42,17920822695,Отрезные круги и пильные диски,20.0
43,18566363062,Трансформаторы,482000.0
44,17848526130,Детская мебель,29160.0
45,17863384753,Свитеры и толстовки,1.0
46,17870901591,Строительные уровни,1000.0
47,17849336300,Фильтры и системы очистки воды,-1.0
48,17881190000,Пончо,2000.0
49,17900719203,Кресла,32044.0
50,17939808755,Стиральные машины,7000.0
51,17971162215,Пистолеты монтажные,56000.0
52,18550349651,Текстиль и ковры,1450.0
53,18015640668,Сапоги,500.0
54,18083507326,"ДВП, МДФ, ХДФ",210.0
55,18135787735,Сандалии,500.0
56,18167862414,Другое,100.0
57,18183026558,Сингапурская,10000.0
58,26252713541,Алмазные диски,7122.0
59,18221240714,Наручные или карманные,1750.0
60,18267149489,Болонки,90.0
61,18271665778,Пончо,500.0
62,18291928146,"Джемперы, свитеры, кардиганы",500.0
63,18294161136,Стиральные машины,1000.0
64,18342272472,Телевизоры,1500.0
65,18354686033,Комплекты мебели,2000.0
66,18108404646,Перфораторы,5700.0
67,18899531461,Беседка,19000.0
68,18190962407,Септики,51561.0
69,18415494298,Болванки,1000.0
70,18430650901,Французский бульдог,25000.0
71,27733604056,"ДВП, МДФ, ХДФ",4999.0
72,18524785493,Телевизоры,6000.0
73,18536066375,Квадрат,80.0
74,18535163654,Новогодние украшения,900.0
75,18526609862,Окна,9000.0
76,18595824549,Беседка,99000.0
77,18643825286,Шторки и перегородки,65136.0
78,18556771292,Текстиль и ковры,690.0
79,18650006232,Другое,10000.0
80,18678640620,Скрипки и другие смычковые,5000.0
81,18694321491,Скрипки и другие смычковые,18000.0
82,18670023571,Стулья,4479.0
83,18696619211,Кроссовки и кеды,800.0
84,18699479745,Электрика,50.0
85,20739690071,Душевые кабины и ограждения,11152.0
86,18719176724,Готовые строения и срубы,50000.0
87,18713382928,Другое,1700.0
88,18723627018,Блоки питания и батареи,240.0
89,18729383680,Сеттер,0.0
90,18598380420,Системы охлаждения,180.0
91,18806788403,Дымоходы,-1.0
92,18812786864,Вест хайленд вайт терьер,27000.0
